"sp_code","vernacular_name","scientific_name","individual_id","sex","age","breeding_stage","deployment_site","deployment_decimal_latitude","deployment_decimal_longitude","device_type","device_id","year","month","day","time","time_zone","decimal_latitude","decimal_longitude","location_quality","processing_method_gls","latitude_uncertainty_metres","longitude_uncertainty_metres","track_id","land"
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"14:03:26","GMT",-47.05,37.827,"0",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"14:15:36","GMT",-47.031,38.256,"0",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"15:55:13","GMT",-47.334,38.605,"2",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"17:20:56","GMT",-47.348,38.639,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"17:22:06","GMT",-47.35,38.64,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"17:25:34","GMT",-47.331,38.642,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"17:34:50","GMT",-47.342,38.661,"0",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"19:02:18","GMT",-47.327,38.701,"2",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"19:02:18","GMT",-47.328,38.702,"3",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"20:07:10","GMT",-47.335,38.733,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"20:43:04","GMT",-47.317,38.736,"0",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"20:45:58","GMT",-47.308,38.713,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"21:46:47","GMT",-47.424,38.918,"2",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"22:21:32","GMT",-47.392,38.908,"1",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"22:21:32","GMT",-47.426,38.943,"B",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"23:27:33","GMT",-47.413,38.979,"3",NA,NA,NA,"DMS_7344_7344",0
"DMS","Sooty Albatross","Phoebetria fusca",7344,"U",NA,"breeding","Marion Island",NA,NA,"PTT",7344,2009,4,16,"23:58:50","GMT",-47.309,38.93,"0",NA,NA,NA,"DMS_7344_7344",0
